dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
physionet,primary,GMM,0.6976851851851852,0.09556457214135196,0.25863750281268394,0.1286764006235512,0.5565302144249512,0.09540337207822559,0.2222222222222222,0.19245008972987526
physionet,primary,QMCD,0.6893518518518519,0.09181735650045969,0.22320086217345503,0.1306973439547505,0.5151072124756335,0.06551817572976977,0.1111111111111111,0.1111111111111111
physionet,primary,PCA,0.6856481481481481,0.08157086847865556,0.21386199481063675,0.10523382654066159,0.5126705653021443,0.04975774331545359,0.14814814814814814,0.16972502573910517
physionet,primary,ECOD,0.6791666666666666,0.09456691405860665,0.22245878894370905,0.12405946271103933,0.5102339181286549,0.06330595056903798,0.1111111111111111,0.19245008972987526
physionet,primary,OCSVM,0.6703703703703704,0.0689612821532053,0.1974212120993816,0.07701591614854773,0.5199805068226121,0.056779630593231246,0.14814814814814814,0.16972502573910517
physionet,primary,Sampling,0.6699074074074073,0.08462350046692545,0.23139311683555644,0.11919957575918892,0.5272904483430799,0.05908555386443537,0.1851851851851852,0.1697250257391052
physionet,primary,CBLOF,0.6685185185185185,0.03525516919165902,0.18640717124865444,0.03775369670663999,0.5053606237816765,0.027674991938597873,0.14814814814814814,0.12830005981991682
physionet,primary,VAE,0.6675925925925926,0.06690255336002154,0.19414172200612087,0.05790758501881052,0.5248538011695906,0.05116959064327486,0.1851851851851852,0.1697250257391052
physionet,primary,COPOD,0.6643518518518517,0.10814026004972158,0.21920107340591974,0.1289053187551182,0.5077972709551656,0.05908555386443536,0.1851851851851852,0.12830005981991682
physionet,primary,IForest,0.6407407407407407,0.11655362689503417,0.23100845516711588,0.15903022998266664,0.5370370370370371,0.09734397834034199,0.14814814814814814,0.16972502573910517
physionet,primary,INNE,0.6368055555555555,0.04925662673973704,0.1556255843371274,0.021346749820150942,0.4980506822612085,0.01477138846610881,0.14230019493177387,0.059157859280676475
physionet,primary,LODA,0.6319444444444444,0.13373060030071698,0.2130772296368262,0.15823303558588495,0.5224171539961014,0.0844079340920506,0.14814814814814814,0.25660011963983365
physionet,primary,KDE,0.6,0.02956082868582326,0.15670513127774405,0.023948195691031925,0.5029239766081871,0.029239766081871406,0.1111111111111111,0.1111111111111111
physionet,primary,KNN,0.5888888888888889,0.0941887879621443,0.17152857609429498,0.0676026433129412,0.5248538011695906,0.04793449213671055,0.1851851851851852,0.1697250257391052
physionet,primary,AutoEncoder,0.5796296296296296,0.09944224599266578,0.16013873448238455,0.0502906576126324,0.5102339181286549,0.03186329637091141,0.1851851851851852,0.1697250257391052
physionet,primary,HBOS,0.5777777777777778,0.1625593433902118,0.2027750571147827,0.1395984145979057,0.5102339181286549,0.06330595056903787,0.14814814814814814,0.06415002990995841
physionet,primary,LUNAR,0.5712962962962963,0.06100580151862646,0.1612219482724273,0.051208183489682445,0.5175438596491228,0.043859649122807036,0.14814814814814814,0.16972502573910517
physionet,primary,MCD,0.5333333333333333,0.05913796904456603,0.11590525703478936,0.014423550144293725,0.47612085769980506,0.004220396704602543,0.037037037037037035,0.06415002990995841
physionet,primary,DIF,0.49444444444444446,0.11883728111462348,0.13065643396437882,0.05559847718980686,0.5029239766081871,0.029239766081871434,0.1111111111111111,0.1111111111111111
physionet,primary,LOF,0.44768518518518513,0.08357988219553156,0.17561745710212143,0.047628284722478376,0.5175438596491229,0.03186329637091137,0.14814814814814814,0.06415002990995841
physionet,secondary,Sampling,0.700462962962963,0.1130502091737945,0.2599078201130923,0.10367624168670124,0.5589668615984406,0.048671989170171036,0.25925925925925924,0.12830005981991682
physionet,secondary,GMM,0.688888888888889,0.0944750767316798,0.264459209196989,0.13909190159842336,0.5614035087719298,0.10363630759325891,0.2222222222222222,0.19245008972987526
physionet,secondary,QMCD,0.6875,0.061425956631933294,0.22537285586747904,0.11616450287714938,0.5199805068226121,0.06792085704077172,0.14814814814814814,0.16972502573910517
physionet,secondary,PCA,0.6861111111111112,0.08196798155377494,0.20188276456693413,0.07660848525703401,0.5175438596491228,0.04793449213671058,0.1851851851851852,0.1697250257391052
physionet,secondary,ECOD,0.6805555555555557,0.0860999096657159,0.21934752048902248,0.12070007770888906,0.5077972709551656,0.05908555386443536,0.1111111111111111,0.19245008972987526
physionet,secondary,LODA,0.6717592592592592,0.06510516974535908,0.18617129444880567,0.03207809286422219,0.5053606237816765,0.029542776932217688,0.14814814814814814,0.12830005981991682
physionet,secondary,OCSVM,0.6689814814814814,0.0633633781886134,0.1878947875258261,0.05392215292672497,0.5126705653021443,0.044664480457659306,0.14814814814814814,0.16972502573910517
physionet,secondary,COPOD,0.6685185185185185,0.10697450275034287,0.22181920977428635,0.12996074583572673,0.5077972709551656,0.05908555386443536,0.14814814814814814,0.16972502573910517
physionet,secondary,VAE,0.6453703703703703,0.04357512079459304,0.1754416383994649,0.03309165952761071,0.5102339181286549,0.03349836034324449,0.14814814814814814,0.12830005981991682
physionet,secondary,INNE,0.625,0.06564979690245308,0.18278995219864683,0.03543478923660817,0.5228232618583496,0.03177777803685779,0.20634920634920637,0.08837721210841304
physionet,secondary,AutoEncoder,0.6148148148148148,0.12793870703271018,0.17224622368480966,0.06197403934267455,0.5053606237816765,0.032962351994319405,0.14814814814814814,0.12830005981991682
physionet,secondary,IForest,0.612962962962963,0.10488027173485466,0.23975755803789156,0.1190095500807804,0.5321637426900585,0.05847953216374273,0.14814814814814814,0.16972502573910517
physionet,secondary,CBLOF,0.6087962962962963,0.0717174310589516,0.17878265648233083,0.05258499308958531,0.5175438596491228,0.040700031892032355,0.14814814814814814,0.16972502573910517
physionet,secondary,KNN,0.5944444444444444,0.10052907877331987,0.1662474785781697,0.0669527068437129,0.5151072124756335,0.04026001862051244,0.1851851851851852,0.1697250257391052
physionet,secondary,HBOS,0.586574074074074,0.15797555418533785,0.20064681879074422,0.1293596137103052,0.5199805068226121,0.05677963059323126,0.2222222222222222,0.1111111111111111
physionet,secondary,KDE,0.5703703703703703,0.00561312761712134,0.14340930408279426,0.020435711673358434,0.4883040935672514,0.02532238022761522,0.037037037037037035,0.06415002990995841
