dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std,contamination
icbhi,primary,COF,0.5905301142969304,0.02757575059833085,0.26978619867670384,0.02168967180568341,0.5267319300046859,0.008547354583705435,0.29596412556053814,0.02940555392063676,0.2
icbhi,primary,SOD,0.5613544513395037,0.026662486127253443,0.2548144852332342,0.01611297077639065,0.5224269548870288,0.006906945919104179,0.26726457399103143,0.020204269643172755,0.2
icbhi,primary,LOF,0.5465527220385218,0.018778205852912285,0.2447290859935325,0.018440075560979985,0.5245826211131852,0.009247351567598304,0.25739910313901343,0.02141226257634677,0.2
icbhi,primary,MCD,0.5311772432848666,0.020136623891845413,0.2574535074405758,0.012566546135938227,0.5385375004602445,0.0065667634499210524,0.26547085201793724,0.012032652793720856,0.2
icbhi,primary,ABOD,0.4951669157947185,0.012738711914773269,0.2199886559078723,0.01486309972908318,0.5132835183185274,0.0076142797149328315,0.2071748878923767,0.012443441188799653,0.2
icbhi,primary,GMM,0.48417609075307133,0.010475720480865296,0.23331820677410234,0.010779018742957521,0.5240305925539188,0.006614076590777801,0.2538116591928251,0.0051128942829557515,0.2
icbhi,primary,LUNAR,0.48290075644335734,0.01315590257215847,0.22690661216118319,0.014407045403295711,0.5177521948035676,0.007354380142270045,0.2197309417040359,0.02264462990664143,0.2
icbhi,primary,KDE,0.47737866960587433,0.014223035291906444,0.22994521807832974,0.019754839788420263,0.5206945811933619,0.009016092307690453,0.22242152466367715,0.016353885676063204,0.2
icbhi,primary,LMDD,0.47688796283714074,0.02246075152296948,0.22203115781436833,0.01658440027703673,0.5161766353647401,0.006221983504243203,0.20214253851236452,0.07377598110856644,0.2
icbhi,primary,KNN,0.46652473917047904,0.014779684965078959,0.22404097048625568,0.014805434249398675,0.5196249596375472,0.007635681825782072,0.20448430493273545,0.019183183530230886,0.2
icbhi,primary,CBLOF,0.46528161535635376,0.014845765925564618,0.22976000851303624,0.01036324194629473,0.524101582790907,0.007002537910679321,0.22152466367713006,0.01572706539618851,0.2
icbhi,primary,KPCA,0.4598128771521896,0.013021112742163112,0.22445906876678148,0.014636531756697371,0.5189394270505119,0.007332681851588924,0.2295964125560538,0.012841095124014667,0.2
icbhi,primary,VAE,0.455051763272989,0.015988604406840648,0.22204237067485239,0.01612500663423189,0.5174078391763861,0.005781127803815985,0.20358744394618836,0.022331658471728678,0.2
icbhi,primary,Sampling,0.4527960220037948,0.019986305723634874,0.2205376727103357,0.016646988455953957,0.5207210700877603,0.008074892877095915,0.21255605381165918,0.03034784630616795,0.2
icbhi,primary,OCSVM,0.44682097507209606,0.012543722400865069,0.2211542414214696,0.01579534259394219,0.522795680297057,0.006903977189982018,0.21076233183856502,0.01382155606046857,0.2
icbhi,primary,AutoEncoder,0.4422621833683119,0.021740068535116362,0.2127140502864015,0.019874927141155505,0.5165347652170089,0.008051063689556924,0.20538116591928252,0.02895763998379003,0.2
icbhi,primary,INNE,0.4385046277422959,0.013919336844261807,0.20761298709909096,0.018839079686316006,0.5156685783701753,0.008396901477843659,0.20448430493273545,0.00874151959175692,0.2
icbhi,primary,LODA,0.43671996497108606,0.019071397600239848,0.21280886054989315,0.01065127807318706,0.5222531877397741,0.005241905778028464,0.21076233183856502,0.013073883172298878,0.2
icbhi,primary,COPOD,0.435285591339403,0.014881674882565171,0.2087539383848586,0.011358285006445487,0.512170984753787,0.005240300931304548,0.22600896860986547,0.00874151959175691,0.2
icbhi,primary,QMCD,0.4285988937707922,0.013012945753468943,0.2035117382477838,0.011078921060380777,0.5120772140676161,0.0041544155441390306,0.20538116591928252,0.012032652793720839,0.2
icbhi,primary,ECOD,0.4284016044853115,0.01289944152886781,0.1928409364990684,0.010800261253178805,0.5072011383867256,0.0044025197535841245,0.1811659192825112,0.011693636601260358,0.2
icbhi,primary,IForest,0.4263139617399707,0.027082659675404675,0.20559495446588363,0.022774454541706173,0.5166025767866693,0.006422943685443288,0.20358744394618836,0.031326007527485177,0.2
icbhi,primary,DIF,0.42537482447796354,0.007711542855686763,0.20687233674038677,0.009474377575271468,0.5217080462930515,0.006312360058649656,0.20986547085201793,0.013601570303231478,0.2
icbhi,primary,PCA,0.422372202342307,0.013039658191402062,0.20881053840293715,0.014656695576295639,0.5215936142692496,0.0063422084989868364,0.19820627802690582,0.013966288342957347,0.2
icbhi,primary,HBOS,0.41625925422636934,0.013289750854274607,0.20288848520925007,0.013364513069297437,0.5123336265653944,0.00488947766975069,0.18475336322869956,0.012443441188799644,0.2
icbhi,secondary,COF,0.5895849375670003,0.028078203055841657,0.26926697851320414,0.02201513025169865,0.5262100987850339,0.008464820702898774,0.2932735426008969,0.030513050827271744,0.2
icbhi,secondary,SOD,0.5611813199257145,0.028221048008058164,0.25547863967983675,0.01767448598286882,0.5234324733183989,0.006881450864197639,0.25829596412556055,0.027387321048614306,0.2
icbhi,secondary,LOF,0.5382162431489786,0.014307084663413497,0.23646293546925254,0.01694452202547153,0.521957041900398,0.009136282604787964,0.23318385650224216,0.026339327633342444,0.2
icbhi,secondary,MCD,0.5301404679581061,0.01983439587781671,0.25734497119696914,0.012189016922192954,0.5383700906476455,0.0059763574682593894,0.2699551569506726,0.013966288342957352,0.2
icbhi,secondary,ABOD,0.4874595481471416,0.0120342946625368,0.21342121115117263,0.014543728887230467,0.5122202540973684,0.008395898799828577,0.19551569506726457,0.027017704630299677,0.2
icbhi,secondary,GMM,0.48240552007368154,0.011304303042268904,0.23462873331104164,0.011977946894780126,0.524139197020953,0.006690127433003687,0.25470852017937223,0.008625732763081302,0.2
icbhi,secondary,LUNAR,0.47984176594042066,0.011867111254239839,0.2243432857104807,0.015566014615265618,0.5169268008541079,0.006172850632953449,0.2233183856502242,0.02317131961033868,0.2
icbhi,secondary,LMDD,0.4772060414810788,0.021392835788873927,0.2232318889047326,0.01632391069821205,0.5167562123741811,0.005485915452392317,0.20662684344509996,0.07230380686070374,0.2
icbhi,secondary,KDE,0.468737197586226,0.013785457345408234,0.2192704626189542,0.017719110181447277,0.5170030888699758,0.008175121403073535,0.21076233183856502,0.020303554121384345,0.2
icbhi,secondary,CBLOF,0.46667874560251243,0.022508610207788604,0.2275161460804757,0.018695876564447992,0.523410752424992,0.007600471768226049,0.20896860986547083,0.022555652627729676,0.2
icbhi,secondary,Sampling,0.4660214501769061,0.03129443948521283,0.22127881771475355,0.023801972085466493,0.5201616246380624,0.009145274007761179,0.1946188340807175,0.026070747719728487,0.2
icbhi,secondary,KNN,0.4625276179835224,0.01404077750398514,0.22126174492173808,0.014995060444992443,0.5186326856533764,0.007453445463601162,0.2,0.015404093307011363,0.2
icbhi,secondary,LODA,0.45705686662338385,0.016347541993415704,0.21863994365461298,0.01797854442268022,0.523709547153808,0.010299905844817783,0.20089686098654708,0.02228658948841109,0.2
icbhi,secondary,KPCA,0.45431394160841093,0.01337150535922443,0.22166463094738553,0.014410227591652688,0.5181754873360569,0.007064332727689747,0.22690582959641253,0.019443482859801617,0.2
icbhi,secondary,VAE,0.4431570311988847,0.011488009456607315,0.21677753072932826,0.018465101858332125,0.5146286243760871,0.009814949382890282,0.2,0.011255516052027926,0.2
icbhi,secondary,AutoEncoder,0.4426748803430417,0.019412207032712864,0.2107382148052511,0.017643453122218766,0.5158174459566954,0.007976734832145128,0.2,0.031326007527485156,0.2
icbhi,secondary,OCSVM,0.4417508417508418,0.012742506756931884,0.22014037817102722,0.01578180445809977,0.522870908757149,0.007096341537509751,0.21165919282511209,0.013226799285876804,0.2
icbhi,secondary,COPOD,0.42900353812162484,0.014781651720041693,0.20665224457321535,0.01176800444302537,0.512712417755294,0.005022799541605673,0.2233183856502242,0.011607335520667972,0.2
icbhi,secondary,INNE,0.428567186564197,0.012340086606102188,0.20345238401527804,0.015689256292678443,0.5153554796383842,0.008179254520929316,0.2080717488789238,0.010323645231588642,0.2
icbhi,secondary,DIF,0.42821236782372807,0.014754118529930079,0.21042211252170778,0.011640599047776042,0.5255690675405883,0.006570956845363568,0.20807174887892374,0.013675292091459127,0.2
icbhi,secondary,ECOD,0.42391629297458894,0.013543687016127593,0.19072537726196387,0.010950628154416102,0.5072737179573779,0.004634170792088301,0.18206278026905828,0.006800785151615746,0.2
icbhi,secondary,IForest,0.4209056182150353,0.016629265840270177,0.20187828641490904,0.015002281909762842,0.5179900650752669,0.00854735187469956,0.2,0.01865168999379859,0.2
icbhi,secondary,QMCD,0.4181959102736382,0.01318153200840485,0.19961115618749067,0.010765100994832326,0.5121323109679652,0.004001137371559543,0.19910313901345292,0.016353885676063207,0.2
icbhi,secondary,PCA,0.41568953108564466,0.01333903537058512,0.2074958244138148,0.014746294756500014,0.521269919979699,0.006505086953564931,0.19820627802690582,0.012443441188799653,0.2
icbhi,secondary,HBOS,0.4097537406954448,0.01301692422492639,0.200349303511092,0.013517812252997266,0.5113413525812236,0.004964647563679693,0.1811659192825112,0.01125551605202792,0.2
