dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std,contamination
esc50,primary,MCD,0.69725,0.014661546217913067,0.3493401058142781,0.021556655422796927,0.5296052631578948,0.00465201829727996,0.27,0.04472135954999577,0.2
esc50,primary,Sampling,0.696125,0.11124947331336005,0.39432019228091736,0.08329142199537339,0.5453947368421053,0.013839265768396468,0.31,0.10246950765959598,0.2
esc50,primary,AutoEncoder,0.691375,0.02572161663853964,0.3676781373440234,0.007732433696302869,0.5421052631578946,0.0058843894144731,0.33999999999999997,0.0651920240520265,0.2
esc50,primary,CBLOF,0.683125,0.0662838946313507,0.3441357086664502,0.07660945977787512,0.5282894736842105,0.015002308224988608,0.32,0.09746794344808964,0.2
esc50,primary,QMCD,0.682125,0.013902562713399291,0.3028286989343825,0.014956680053040922,0.5171052631578947,0.009127919029941874,0.24,0.02236067977499789,0.2
esc50,primary,GMM,0.679,0.01545280112147961,0.35972921445313716,0.021721039164214532,0.5289473684210526,0.011489637629324348,0.24,0.02236067977499789,0.2
esc50,primary,KNN,0.677125,0.01784591164664893,0.37587323039467313,0.025668333396143245,0.5440789473684211,0.01003154650130059,0.27999999999999997,0.027386127875258286,0.2
esc50,primary,IForest,0.6752499999999999,0.034755282871816784,0.32773433418039366,0.03430618220381092,0.5282894736842105,0.010810313634970358,0.29,0.041833001326703756,0.2
esc50,primary,DIF,0.675,0.02708854116596161,0.3063339676593785,0.018879560615190003,0.4960526315789474,0.014966201534312305,0.37,0.02738612787525833,0.2
esc50,primary,HBOS,0.6635,0.01212403346663143,0.26406508470477935,0.0076121508784143905,0.47631578947368425,0.001471097353618298,0.21000000000000002,0.022360679774997894,0.2
esc50,primary,KPCA,0.663,0.016911996481787716,0.3361375428361097,0.015175742732839507,0.5355263157894736,0.008826584121709682,0.19,0.0223606797749979,0.2
esc50,primary,VAE,0.6453749999999999,0.03146364469510805,0.3257078367700089,0.02314802684934928,0.5223684210526316,0.005405156817485169,0.24,0.09617692030835674,0.2
esc50,primary,PCA,0.6371249999999999,0.02702574004537155,0.31664317570280565,0.014425852432916596,0.5217105263157895,0.004413292060854806,0.21000000000000002,0.022360679774997894,0.2
esc50,primary,KDE,0.634875,0.01696964201154521,0.3209231920060251,0.01876712661737543,0.5184210526315789,0.010297681475327981,0.29,0.04183300132670376,0.2
esc50,primary,COPOD,0.6345,0.023349417819294765,0.28158352448454776,0.011479042061254417,0.5078947368421052,0.002942194707236573,0.30999999999999994,0.0223606797749979,0.2
esc50,primary,OCSVM,0.63,0.026175489489214894,0.33031423624875655,0.01747720868426851,0.5355263157894736,0.008826584121709712,0.27,0.027386127875258296,0.2
esc50,primary,LUNAR,0.62775,0.020839790665935262,0.32391314020819495,0.0281022431333382,0.5335526315789474,0.01239568663251098,0.2,0.0,0.2
esc50,primary,LODA,0.6275,0.07338894671542841,0.28218088934597874,0.0420192752027434,0.5078947368421052,0.01368199627834566,0.26,0.09617692030835673,0.2
esc50,primary,INNE,0.62275,0.01987558961389577,0.3329731710856037,0.017582045082067895,0.5407894736842105,0.009476881770321034,0.22999999999999998,0.0273861278752583,0.2
esc50,primary,ABOD,0.62125,0.013206591630697165,0.3508574010373747,0.022003987301034037,0.5473684210526316,0.009758155904073243,0.29,0.02236067977499789,0.2
esc50,primary,LMDD,0.5841875,0.04226936501474798,0.2709566568479246,0.03688938607816788,0.5144736842105264,0.02189415959512336,0.22000000000000003,0.0758287544405155,0.2
esc50,primary,ECOD,0.576,0.023554292337066723,0.25784506438245863,0.013558794096731688,0.5105263157894736,0.00851459151680579,0.27999999999999997,0.027386127875258286,0.2
esc50,primary,SOD,0.56475,0.025699586572550122,0.2758729551261244,0.019434802254650194,0.5118421052631579,0.011996435874217443,0.25,0.03535533905932737,0.2
esc50,primary,LOF,0.547625,0.014680184348297516,0.2869999952072197,0.007734289743502425,0.5427631578947368,0.0,0.25,0.0,0.2
esc50,primary,COF,0.48925,0.016282419583710555,0.2238296196728069,0.006882866655787028,0.4947368421052632,0.0037505770562471603,0.27,0.0273861278752583,0.2
esc50,secondary,HBOS,0.63975,0.015287607317693614,0.25345139719719123,0.008919854094160438,0.48157894736842105,0.005975625698876644,0.21000000000000002,0.022360679774997894,0.2
esc50,secondary,IForest,0.633375,0.04150865873525669,0.27844481541399346,0.04342804634774424,0.5052631578947369,0.022017369119317776,0.22999999999999998,0.06708203932499367,0.2
esc50,secondary,DIF,0.6315000000000001,0.03624892239777618,0.28761936556339196,0.025313024363694127,0.5006578947368421,0.013442642593225373,0.31999999999999995,0.0273861278752583,0.2
esc50,secondary,QMCD,0.62675,0.016010250622648,0.285609256330046,0.01017299662937029,0.5348684210526315,0.0044132920608548265,0.19,0.0223606797749979,0.2
esc50,secondary,Sampling,0.61,0.0780612239687542,0.2777249481671829,0.05368271446745825,0.5006578947368421,0.021114219126159527,0.3,0.07905694150420947,0.2
esc50,secondary,GMM,0.6025,0.01576809476442856,0.2833691461067206,0.024887943389200178,0.5019736842105262,0.012654857935310126,0.19,0.0223606797749979,0.2
esc50,secondary,MCD,0.599875,0.02046529073822312,0.2616564025837333,0.014302763354486596,0.5138157894736842,0.00819072341972945,0.19,0.0223606797749979,0.2
esc50,secondary,COPOD,0.5931249999999999,0.02199076510719894,0.25982904013739583,0.012242713407704482,0.5046052631578947,0.00641236470053224,0.30999999999999994,0.02236067977499789,0.2
esc50,secondary,VAE,0.5908749999999999,0.0433319310670549,0.260318666363629,0.02541900202743801,0.4967105263157895,0.0046520182972799255,0.27,0.06708203932499367,0.2
esc50,secondary,SOD,0.589125,0.027402526115305522,0.3004091529080938,0.016211836935010878,0.5263157894736842,0.009868421052631603,0.26,0.04183300132670376,0.2
esc50,secondary,KPCA,0.573125,0.013221372375816352,0.24063604234296615,0.010477635155547465,0.5,0.00959038140599554,0.19,0.0223606797749979,0.2
esc50,secondary,CBLOF,0.571875,0.023036146867477653,0.25040402380798127,0.028260467390583428,0.5078947368421053,0.016708454077895143,0.22000000000000003,0.04472135954999579,0.2
esc50,secondary,PCA,0.5715,0.027739018097257855,0.24452980258779022,0.01304143646541894,0.4967105263157895,0.00465201829727992,0.2,0.0,0.2
