dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std,contamination
mimii,primary,DIF,0.9402421902421902,0.008072483463046738,0.4853392593118417,0.06710017869334135,0.7851988694093958,0.026740337174403737,0.5054545454545455,0.06479465338620165,0.05
mimii,primary,GMM,0.6638820638820639,0.03833454153909605,0.10022935511029925,0.019957849240732524,0.5603258761153498,0.022339179361598568,0.14545454545454545,0.03401506715249037,0.05
mimii,primary,KDE,0.6592664092664092,0.03551763905963289,0.31314463903856665,0.06504036842491252,0.611261569156306,0.0342418972129,0.26181818181818184,0.06504925025453934,0.05
mimii,primary,MCD,0.6504422604422604,0.044949357659876385,0.16083865476378975,0.06207965879783568,0.6127431601115811,0.03700559005030043,0.3018181818181818,0.06376610151545521,0.05
mimii,primary,VAE,0.6164654264654265,0.046542134333433585,0.3156740556126221,0.07337016147931706,0.6239751713435924,0.031864410402215826,0.28727272727272724,0.05947428085016773,0.05
mimii,primary,OCSVM,0.6096033696033696,0.03569499575214878,0.3288160955797054,0.05834741351283848,0.6248803827751196,0.031302253079035676,0.28727272727272724,0.05947428085016773,0.05
mimii,primary,AutoEncoder,0.6043313443313443,0.02442502342063238,0.327745465866401,0.05726551464162881,0.6248434353697512,0.031327765799249556,0.28727272727272724,0.05947428085016773,0.05
mimii,primary,Sampling,0.6009617409617409,0.06649731339688814,0.31734589261443535,0.07596262584948132,0.6241414346677504,0.03212569354323765,0.28727272727272724,0.05947428085016773,0.05
mimii,primary,KPCA,0.5895577395577396,0.03516370147297588,0.3266842952725226,0.058090848141694865,0.6248803827751196,0.031302253079035676,0.28727272727272724,0.05947428085016773,0.05
mimii,primary,KNN,0.5866444366444366,0.034292096594253405,0.3264331943359391,0.05798702129624941,0.6248803827751196,0.031302253079035676,0.28727272727272724,0.05947428085016773,0.05
mimii,primary,CBLOF,0.5852263952263952,0.07486797931313689,0.3225879575872209,0.0679283398684249,0.6245478561268035,0.03166478217216401,0.28727272727272724,0.05947428085016773,0.05
mimii,primary,PCA,0.582081432081432,0.04029361918953322,0.3232844942029973,0.05891749232614803,0.6246032772348562,0.03128833547055613,0.28727272727272724,0.05947428085016773,0.05
mimii,primary,SOD,0.578080028080028,0.016005563086067702,0.1259704200499891,0.04048582188486595,0.5435111119321645,0.018390213328446193,0.13454545454545455,0.03544288852657805,0.05
mimii,primary,ABOD,0.5763846963846964,0.019848498029916603,0.057135964822885146,0.002478948637079738,0.47928543718017397,0.003051053783600886,0.007272727272727273,0.009958591954639384,0.05
mimii,primary,LOF,0.5703404703404703,0.042410413562158404,0.16505321038207452,0.04543748205932769,0.5913432229221703,0.024112983979572344,0.25090909090909086,0.03941724252487055,0.05
mimii,primary,LUNAR,0.5654545454545454,0.014136332696277813,0.05385002606400889,0.001815898822632266,0.47466331676857987,0.0008250323353850042,0.0,0.0,0.05
