dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std
urbansound8k,primary,TempIF,0.6342797440250751,0.026972067961287472,0.20506776102084592,0.029574508232101802,0.5854223517524384,0.018718012309212134,0.30153846153846153,0.04937478934117298
urbansound8k,primary,TempSR,0.6138121979887685,0.014087612157541847,0.27425378403272316,0.026171654989435886,0.6155152148360977,0.01398701207410426,0.3323076923076923,0.023331924443235532
urbansound8k,secondary,TempIF,0.6338121979887685,0.03390995078483774,0.21016304267226293,0.03541139370462832,0.5931208457345531,0.023452162598340456,0.3076923076923077,0.06249260311258432
urbansound8k,secondary,TempSR,0.6138121979887685,0.014087612157541847,0.27425378403272316,0.026171654989435886,0.6155152148360977,0.01398701207410426,0.3323076923076923,0.023331924443235532
