dataset,detector,seconds,n_train,n_features
mimii,LODA,0.014342683018185198,2713,74
mimii,AutoEncoder,1.4415321730775759,2713,74
mimii,VAE,6.070329008973204,2713,74
mimii,DIF,4.331951571977697,2713,74
mimii,LUNAR,2.320283434004523,2713,74
physionet,KNN,0.07663562207017094,2495,74
physionet,LOF,0.10427191900089383,2495,74
physionet,COF,1.4722443500068039,2495,74
physionet,CBLOF,0.031395624042488635,2495,74
physionet,ABOD,0.12303150608204305,2495,74
physionet,SOD,0.8635724369669333,2495,74
physionet,KDE,0.7242992520332336,2495,74
physionet,Sampling,0.001992141013033688,2495,74
physionet,PCA,0.009755448903888464,2495,74
physionet,KPCA,2.874246258987114,2495,74
physionet,MCD,7.6924112369306386,2495,74
physionet,OCSVM,0.28114547999575734,2495,74
physionet,LMDD,28.69786860595923,2495,74
physionet,HBOS,0.007114790030755103,2495,74
physionet,COPOD,0.03876599797513336,2495,74
physionet,ECOD,0.03915374795906246,2495,74
physionet,QMCD,0.04901429207529873,2495,74
physionet,GMM,0.053113993955776095,2495,74
physionet,INNE,0.1906067159725353,2495,74
physionet,IForest,0.07814786804374307,2495,74
physionet,LODA,0.011493573081679642,2495,74
physionet,AutoEncoder,1.2654918680200353,2495,74
physionet,VAE,5.475576983997598,2495,74
physionet,DIF,3.2072459480259567,2495,74
physionet,LUNAR,2.1719151460565627,2495,74
icbhi,KNN,0.09202620596624911,2751,74
icbhi,LOF,0.12386463303118944,2751,74
icbhi,COF,1.7624000670621172,2751,74
icbhi,CBLOF,0.04167381499428302,2751,74
icbhi,ABOD,0.1916646040044725,2751,74
icbhi,SOD,1.2298286259174347,2751,74
icbhi,KDE,1.1081033910159022,2751,74
icbhi,Sampling,0.002809062018059194,2751,74
icbhi,PCA,0.012890956015326083,2751,74
icbhi,KPCA,4.226532218977809,2751,74
icbhi,MCD,7.288845367031172,2751,74
icbhi,OCSVM,0.37993075198028237,2751,74
icbhi,LMDD,41.224317213054746,2751,74
icbhi,HBOS,0.008089715032838285,2751,74
icbhi,COPOD,0.049886589986272156,2751,74
icbhi,ECOD,0.0496087089413777,2751,74
icbhi,QMCD,0.07708424690645188,2751,74
icbhi,GMM,0.07800721400417387,2751,74
icbhi,INNE,0.23939533496741205,2751,74
icbhi,IForest,0.07898357196245342,2751,74
icbhi,LODA,0.014567203004844487,2751,74
icbhi,AutoEncoder,2.1561548620229587,2751,74
icbhi,VAE,8.572619226993993,2751,74
icbhi,DIF,4.2463932149112225,2751,74
icbhi,LUNAR,2.2695139419520274,2751,74
