EDT,T20,T30,C50,C80,D50,Ts,rir
0.040895365010548905,0.307697953934272,0.30815814198390046,17.936674022834893,23.91825648200986,0.9841728048256834,0.004144306556067195,h001_Bedroom_65txts.wav
0.25204597547150165,0.3139325246825199,0.33424891575529325,14.627418576397904,20.018523679792217,0.9666921697122862,0.008388404410315596,h002_Bedroom_62txts.wav
1.139717144222183,,0.01140288980298879,47.168796098356566,49.28760550314988,0.9999808083614672,0.0010010167908090395,h003_Office_LargeBrickWalledOpenPlanOffice_56txts.wav
0.007298180978204509,0.4089838462414982,0.47420311102008755,20.265376706469333,24.425244647440234,0.9906804291786784,0.002564735533267508,h004_LivingRoom_Large_48txts.wav
0.06804255308206082,0.12743782920080907,0.22664082630780577,32.72677177541646,38.20284570885804,0.9994665532326775,0.0011621543345891304,h005_Office_Small_44txts.wav
0.04541403785412611,0.2515027427653242,0.2889217973175167,20.307533360642896,26.77159317055278,0.9907696249555934,0.003959476951662796,h006_Bedroom_42txts.wav
0.3481125930271562,0.3515216029513359,0.38144884847500965,7.861380662901602,13.693715485474684,0.8593799770665758,0.025965859425702897,h007_Bathroom_Small_41txts.wav
0.06620475520368378,0.4073284259898841,0.35462844619102785,26.492281017694882,32.040493681750704,0.9977623147717412,0.0013295068530767612,h008_Bedroom_35txts.wav
0.159370682479539,0.1882170584769453,0.1912143796279826,21.06751644611228,30.206735562964866,0.9922399403434795,0.00508997651653175,h009_Office_32txts.wav
0.02683624169498549,0.2484522411072073,0.3614500343868069,22.050443141686763,27.10173831196275,0.9938019435466454,0.002900809365034912,h010_Livingroom_31txts.wav
0.02522889685968412,0.05284388001815812,0.05730932048740212,42.13904040709948,46.67212189964323,0.9999388960309064,0.0018088985726749324,h011_Car_29txts.wav
0.014304376327758737,0.3621171586323585,0.38252229840366164,19.148882078900968,23.304147826092677,0.9879812173783791,0.0033711273631547526,h012_Kitchen_22txts.wav
0.2864102506709676,0.34204191299478753,0.3449573242187181,12.323277533677485,17.3999411738388,0.9446709989143077,0.011383559660847193,h013_Hospital_ExaminationRoom_19txts.wav
0.09741584858343737,0.3069514475664719,0.3399171236389386,17.409469242613937,22.71235869252465,0.9821664352025676,0.004949632292026201,h014_HomeExerciseRoom_18txts.wav
0.22367976765490163,0.2922695772056227,0.31127030910257564,14.34408731862274,21.048660372430625,0.9645263903320085,0.008520880433351669,h015_Bedroom_174txts.wav
0.4286643639691207,0.5793659614106718,0.5980873826361246,10.272174249529133,13.827127485643658,0.9141392041407401,0.012384000396099383,h016_MasterBedroom_15txts.wav
0.02099116658553085,0.3714841711387924,0.39753473151950114,17.469584561562126,22.217785318235688,0.9824072750145806,0.004081966131606574,h017_Livingroom_152txts.wav
0.09141589346715204,0.23500504186487622,0.25251945331699693,19.678279786172737,26.859147057283025,0.9893458172143369,0.004246917987367679,h018_Kitchen_12txts.wav
0.007829819526412466,0.9567633772079364,1.7887929077597085,22.509251754681383,23.641594522341,0.9944198661500812,0.0023668459934860866,h019_MITCampus_Atrium_1txts.wav
0.26092568812662975,0.3029492798735407,0.32582974071566295,30.031291832251306,35.232867231183555,0.9990081640306141,0.0011824512803584087,h020_Livingroom_10txts.wav
0.3067803032305997,0.4541036737638895,0.5190976282181551,12.838837023892026,17.045694314052245,0.9505581202703222,0.009418446062217308,h021_Bedroom_102txts.wav
0.008008638900792984,0.21627134116239977,0.33342250566130827,26.761647518674557,31.256440922677786,0.9978966052126329,0.0016495571273465058,h022_Office_Foyer_9txts.wav
0.04297711127747857,0.14297866231200682,0.15317608814216885,40.13648216295373,47.46408325565546,0.9999031031408514,0.0010384649052194981,h023_Bedroom_9txts.wav
0.28684768395013227,0.3300359308053056,0.35203709533883276,10.42107025008448,16.318452453047602,0.9167922271915862,0.017860818569998084,h024_Bathroom_9txts.wav
0.10516955057005963,0.8536205878620718,0.9724202797096843,12.574054508333358,14.690121797021508,0.9476127679115712,0.008267020717273312,h025_Diningroom_8txts.wav
1.1953488821318368,1.4485026079196546,1.5676979083407734,7.087450946973228,8.722219007560154,0.8364360318224932,0.02768420540789963,h026_Gym_8txts.wav
0.027198453559394216,0.3393552836662198,0.39054502527579904,18.37635915445783,24.59484187942852,0.9856748961089123,0.0036703319197701496,h027_Classroom_8txts.wav
0.3513123262324201,0.5081868054088309,0.5808735647201619,10.501795207453213,14.36879163758318,0.9181992279709664,0.014400604394341567,h028_Classroom_8txts.wav
0.02142261498893843,0.392922931019509,0.40993104759958887,17.348533755259442,21.995195866347093,0.981919006461739,0.004027131984924127,h029_BabysRoom_8txts.wav
0.1338495693423475,0.20284462123550182,0.21358941591855168,19.453087187576585,26.918181366396297,0.9887851564497869,0.0070972311729686635,h030_Campground_AFrameCabin_8txts.wav
0.3272163922471556,0.35438488158958703,0.3709840817530386,10.967488549742733,15.978060167168827,0.9259004705938682,0.01555605496793069,h031_Bedroom_7txts.wav
0.3805162134342298,0.45332433432186386,0.46364108334703596,9.992854853209437,14.590682015619393,0.9089548480542274,0.015075794700674067,h032_Bedroom_6txts.wav
0.013734883652219155,0.612359275000375,0.5862556816698102,16.49612784636155,19.148633072943863,0.9780838974273081,0.00443621943508146,h033_Classroom_6txts.wav
