dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std,feature_set,n_features
esc50,primary,LOF,0.6711111111111111,0.036921985654774295,0.1601800830917469,0.016994504061156192,0.48830409356725146,0.010337818438399798,0.08888888888888888,0.049690399499995326,mfcc,40
esc50,primary,GMM,0.6591666666666667,0.03681996573251002,0.18881157046740216,0.04778842821420824,0.5248538011695907,0.03144124732106222,0.15555555555555553,0.06085806194501846,mfcc,40
esc50,primary,CBLOF,0.6508333333333333,0.04133665607910819,0.2070521402069287,0.061910934261277036,0.5394736842105263,0.03543625626766322,0.15555555555555553,0.06085806194501846,mfcc,40
esc50,primary,KNN,0.6199999999999999,0.030279689032439463,0.19928754692134681,0.058835253534314104,0.5423976608187134,0.028592993005274715,0.15555555555555553,0.06085806194501846,mfcc,40
esc50,primary,IForest,0.6033333333333333,0.033887181195589484,0.14215366215884873,0.010803747474778427,0.4970760233918129,0.015847575576519595,0.11111111111111112,0.0,mfcc,40
esc50,primary,OCSVM,0.5822222222222222,0.05056013410280699,0.1952366379414492,0.0573995890197815,0.543859649122807,0.027155227516091635,0.15555555555555553,0.06085806194501846,mfcc,40
esc50,primary,HBOS,0.5505555555555556,0.026563748155133966,0.12170145046269698,0.0065959320087680745,0.47368421052631576,0.0,0.0,0.0,mfcc,40
esc50,primary,COPOD,0.5405555555555556,0.016993326576869746,0.11741951340385166,0.004256763642465986,0.47660818713450287,0.0040038198648038766,0.06666666666666667,0.06085806194501846,mfcc,40
esc50,primary,LODA,0.5130555555555556,0.07891407070703901,0.1463524224884566,0.03486098057514437,0.5175438596491228,0.017905626774730853,0.13333333333333333,0.04969039949999532,mfcc,40
esc50,primary,PCA,0.5016666666666667,0.05115751215005196,0.13313699880214763,0.027730708634794137,0.510233918128655,0.0219298245614035,0.13333333333333333,0.049690399499995326,mfcc,40
esc50,primary,ECOD,0.4741666666666666,0.03539078575066373,0.10411911237364306,0.005553570902640751,0.47368421052631576,0.0,0.0,0.0,mfcc,40
esc50,secondary,GMM,0.6108333333333333,0.04718544319366637,0.1671710788379742,0.04546787265243974,0.5131578947368421,0.04023789165065172,0.08888888888888888,0.09296222517045283,mfcc,40
esc50,secondary,CBLOF,0.5933333333333334,0.08506533436783233,0.14034030082183452,0.021009022348688455,0.4985380116959064,0.008334615680549237,0.15555555555555553,0.06085806194501846,mfcc,40
esc50,secondary,KNN,0.5491666666666667,0.054774016661502625,0.13298874091409146,0.016532462408064396,0.5,0.01108607521060169,0.15555555555555553,0.06085806194501846,mfcc,40
esc50,secondary,IForest,0.5463888888888888,0.03649105674301889,0.12354765558444358,0.012032944366512126,0.48830409356725146,0.01155803238365635,0.11111111111111112,0.0,mfcc,40
