dataset,setting,detector,auc_roc_mean,auc_roc_std,avg_precision_mean,avg_precision_std,pauc_0.1_mean,pauc_0.1_std,f1_top_q_mean,f1_top_q_std,contamination
ravdess,primary,CBLOF,0.9913194444444444,0.014316338977839077,0.9834940965633565,0.02364227455069369,0.9806286549707602,0.02672131100355876,0.9666666666666666,0.04564354645876389,0.2
ravdess,primary,AutoEncoder,0.9878472222222221,0.018738744049412243,0.9746682606609077,0.031478131120417044,0.9663742690058479,0.03464036981997542,0.9166666666666666,0.05892556509887896,0.2
ravdess,primary,INNE,0.9871527777777779,0.022354748059472063,0.9759575044501515,0.035076494333638616,0.9700292397660819,0.03903724368183749,0.9333333333333332,0.06972166887783963,0.2
ravdess,primary,OCSVM,0.9868055555555555,0.019433590720771807,0.9741456582633055,0.031450978923018284,0.9663742690058481,0.03413046061382676,0.9333333333333333,0.06972166887783963,0.2
ravdess,primary,LOF,0.9847222222222222,0.02148853950939691,0.972982456140351,0.03901980777226065,0.9736842105263157,0.03922926276315425,0.95,0.07453559924999299,0.2
ravdess,primary,KPCA,0.9809027777777777,0.028181741459631798,0.9684121194897057,0.04466930739319192,0.9718567251461987,0.03788672946679116,0.9333333333333333,0.06972166887783963,0.2
ravdess,primary,KDE,0.9791666666666666,0.02630079411031797,0.964710778560104,0.043121853310553446,0.9663742690058481,0.04000899347658727,0.9333333333333333,0.06972166887783963,0.2
ravdess,primary,LUNAR,0.9791666666666666,0.02780489128133147,0.9650583982202449,0.04331815790070685,0.9663742690058479,0.036403215198797495,0.9333333333333333,0.06972166887783963,0.2
ravdess,primary,MCD,0.9784722222222223,0.03279366375865997,0.967151195202707,0.04466654364903752,0.9682017543859649,0.04056852902196367,0.9333333333333333,0.06972166887783963,0.2
ravdess,primary,KNN,0.9770833333333332,0.031403941818319535,0.9682956598623764,0.045174549639823904,0.9736842105263157,0.03922926276315425,0.95,0.07453559924999299,0.2
ravdess,primary,COF,0.9753472222222221,0.02248247130997176,0.94391101429717,0.049938988051554445,0.9345760233918128,0.056406869009132436,0.8666666666666666,0.11180339887498947,0.2
ravdess,primary,SOD,0.9746527777777778,0.008012486638343278,0.8858539894201659,0.02357139518141174,0.8790204678362572,0.024361140986086296,0.85,0.03726779962499647,0.2
ravdess,primary,VAE,0.9743055555555555,0.029293499033883723,0.949497113997114,0.046148954373842956,0.9448099415204678,0.04207981026893729,0.9166666666666666,0.05892556509887896,0.2
ravdess,primary,PCA,0.9736111111111111,0.029575099923649054,0.9479608314390923,0.047501819027658695,0.9448099415204678,0.04392432487768553,0.9166666666666666,0.05892556509887896,0.2
ravdess,primary,Sampling,0.971875,0.03418419971318424,0.9596196769981937,0.04541037328277317,0.9612573099415205,0.038102084109416706,0.9166666666666666,0.05892556509887896,0.2
ravdess,primary,IForest,0.9666666666666666,0.037984746319175276,0.9348225513311721,0.07871053845302028,0.9323830409356726,0.08015976681089662,0.8666666666666666,0.13944333775567927,0.2
ravdess,primary,GMM,0.9614583333333332,0.032115709373766725,0.9286597428208025,0.04990477661401584,0.9221491228070174,0.05335193256887225,0.8333333333333334,0.1178511301977579,0.2
ravdess,primary,LODA,0.9486111111111111,0.037288013218512335,0.8766066078171342,0.06905429520705367,0.8629385964912281,0.06632034836119906,0.7833333333333333,0.09501461875826152,0.2
ravdess,primary,HBOS,0.9364583333333334,0.04009251574387473,0.8429539067120624,0.06518372897555405,0.809576023391813,0.050963583850321084,0.7166666666666667,0.07453559924999294,0.2
ravdess,primary,DIF,0.9222222222222222,0.035140707298140436,0.8499079013249402,0.0436916189433004,0.8461257309941521,0.04129874365384742,0.75,0.10206207261596575,0.2
ravdess,primary,ABOD,0.9152777777777779,0.034947187889128185,0.8244714820219328,0.043967595164535786,0.8187134502923976,0.03189995999355971,0.7166666666666666,0.04564354645876389,0.2
ravdess,primary,COPOD,0.9104166666666667,0.04860491031880177,0.786770056033416,0.0638820957882706,0.7631578947368421,0.03356310115803894,0.65,0.037267799624996475,0.2
ravdess,primary,ECOD,0.9090277777777779,0.032120401565971395,0.7616980720952377,0.05742134704764666,0.7426900584795322,0.04576747322367995,0.5833333333333333,0.08333333333333329,0.2
ravdess,primary,LMDD,0.8876736111111111,0.09992371463342414,0.8083109945609946,0.12459903263357057,0.832615629984051,0.06242291562196885,0.7,0.12638125740085923,0.2
ravdess,primary,QMCD,0.4756944444444445,0.05648367529512996,0.46168055462354635,0.08635473795413175,0.6410818713450293,0.0548489224628774,0.3833333333333333,0.09501461875826152,0.2
ravdess,secondary,SOD,0.9677083333333332,0.009477322266636223,0.8762611653644262,0.039176224696641615,0.868421052631579,0.029917225043393485,0.8333333333333334,0.058925565098878946,0.2
ravdess,secondary,QMCD,0.9663194444444445,0.043361091091888015,0.9415693792886776,0.07443640758355062,0.9437134502923976,0.07197601688004385,0.8833333333333334,0.13944333775567927,0.2
ravdess,secondary,CBLOF,0.9645833333333333,0.0375497997520593,0.9062854081337604,0.07883063908754472,0.8870614035087719,0.07284082551331812,0.7833333333333334,0.12638125740085912,0.2
ravdess,secondary,MCD,0.9625,0.050565260629820925,0.941425518925519,0.05223520694939522,0.9353070175438596,0.048859181039330436,0.8666666666666666,0.09501461875826148,0.2
ravdess,secondary,LOF,0.9555555555555555,0.04344789321882382,0.8834941932307426,0.06898867722506484,0.8691520467836258,0.04870514253309021,0.7833333333333334,0.07453559924999303,0.2
ravdess,secondary,KNN,0.9479166666666666,0.05060101264510306,0.8825206031383328,0.08378419484504124,0.8680555555555556,0.06302042991802279,0.75,0.1020620726159657,0.2
ravdess,secondary,INNE,0.9416666666666668,0.04733251519408994,0.8652722548767583,0.0553271758541091,0.8512426900584795,0.03495230020412368,0.7833333333333334,0.045643546458763874,0.2
ravdess,secondary,COF,0.9395833333333332,0.03365101081021757,0.8819274463353413,0.05500232329300983,0.8735380116959064,0.04926420643151692,0.7833333333333334,0.07453559924999302,0.2
ravdess,secondary,AutoEncoder,0.9260416666666667,0.05572619194206798,0.8515972099366669,0.06068487754393387,0.8475877192982455,0.043813938168102376,0.7666666666666667,0.09128709291752773,0.2
ravdess,secondary,KPCA,0.9253472222222221,0.053637123978386755,0.8374390715194405,0.06815265139272107,0.8362573099415205,0.03742108216149205,0.7333333333333334,0.09128709291752764,0.2
ravdess,secondary,OCSVM,0.920138888888889,0.0583989173317853,0.8431582899598018,0.05398002879081992,0.8362573099415205,0.027853419248234607,0.7666666666666667,0.03726779962499652,0.2
ravdess,secondary,HBOS,0.9177083333333333,0.04447630693816682,0.8048432838805442,0.07608041434176233,0.7737573099415205,0.05384728390164814,0.65,0.06972166887783958,0.2
ravdess,secondary,Sampling,0.9059027777777778,0.049064723842814004,0.8128870839337106,0.066880430940713,0.8154239766081872,0.04655606433792761,0.7166666666666667,0.09501461875826155,0.2
ravdess,secondary,LUNAR,0.9048611111111111,0.06212998107686099,0.8074988072860414,0.07279620456472005,0.8081140350877192,0.048574685160826,0.7333333333333333,0.03726779962499654,0.2
ravdess,secondary,KDE,0.8965277777777778,0.04938923357116316,0.803553952881401,0.04895222606292697,0.8015350877192983,0.032655276888781865,0.7166666666666666,0.04564354645876389,0.2
ravdess,secondary,DIF,0.8871527777777779,0.029360302995291243,0.7400849402929605,0.028880034647719682,0.7207602339181287,0.04906040988862471,0.6,0.037267799624996455,0.2
ravdess,secondary,IForest,0.8850694444444445,0.0664434014631538,0.7848303626143807,0.07371828616022019,0.7923976608187135,0.040486122824701744,0.6666666666666666,0.05892556509887897,0.2
ravdess,secondary,PCA,0.8770833333333334,0.06275747505400715,0.7331895472131661,0.052754745709707354,0.7320906432748538,0.024504664169388447,0.5666666666666667,0.037267799624996496,0.2
ravdess,secondary,VAE,0.8756944444444444,0.06377225540478855,0.7344677357940416,0.05559264535142622,0.7339181286549707,0.02824041487146466,0.5666666666666667,0.037267799624996496,0.2
ravdess,secondary,COPOD,0.8739583333333332,0.07468910614782115,0.706769801892867,0.08160447053901282,0.6970029239766081,0.044547181868221444,0.5666666666666667,0.037267799624996496,0.2
ravdess,secondary,ECOD,0.8621527777777779,0.03842261392464698,0.6558355284511311,0.07705092011956419,0.6706871345029239,0.05901108476144239,0.4833333333333334,0.06972166887783963,0.2
ravdess,secondary,LODA,0.8427083333333334,0.06859945990253678,0.7078947755408216,0.041148056907764206,0.735014619883041,0.02966499101013874,0.5833333333333333,0.08333333333333331,0.2
ravdess,secondary,LMDD,0.8038194444444444,0.025196050822395837,0.630138852017722,0.058032064191505466,0.7028508771929824,0.05597895274908265,0.55,0.04564354645876384,0.2
ravdess,secondary,GMM,0.771875,0.0481845120648959,0.5684886058814034,0.057583921226483585,0.6414473684210527,0.027757331271479644,0.4333333333333333,0.06972166887783963,0.2
ravdess,secondary,ABOD,0.7572916666666667,0.03253529659756242,0.4434908700276381,0.03540291855788383,0.5646929824561404,0.04099437103160806,0.3666666666666667,0.074535599249993,0.2
